Deme,Tribe,Quota,Trittys,Iscrs,Theater,Demarchs,Active,Index,no. of names,Trierarch,Fest Liturgy,on Diadikasia,Wealthy,polit active,Allotment plates
Tyrmeidai,VI,0.5,U,,,,,1,1,1,,,,,
Pambotadai,I,1,C,,,,,3,,,,,,,
Phegous,I,1,I,,,,,1,1,1,,,,,
Sybridai,I,1,I,,,,,3,1,1,,,,,
Themakos,I,1,U,,,,,2,1,1,,,,,
"Ankyle, Upper",II,1,U,,,,,2.5,2,1,,1,,1,
"Ankyle, Lower",II,1,U,,,,,2.5,,,,,,,
Diomeia,II,1,U,,,,,8,2,2,1,,,2,
Erikeia,II,1,U,1,,,,9,,,,,,,1
Hestiaia,II,1,U,,,,,2,1,1,,,,1,1
Myrrhinoutta,II,1,I,,,,,4,,,,,,1,
Otryne,II,1,C,,,,,7,,,,,,,1
Plotheia,II,1,I,2,,,3,36,2,2,,,,,1
Konthyle,III,1,I,,,,,4,,,,,,,
"Paiania, Upper",III,1,I,,,,1,12.5,28,2,1,1,2,1,3
Hekale,IV,1,I,,,,,8,2,1,1,,,,2
Kropidai,IV,1,I,,,,,3,1,,,1,,,1
Oion Kerameikon,IV,1,U,,,0.5,,7,,,,,,,
"Potamos, Lower",IV,1,C,,,,,3.3,,,,,,,
Eiresidai,V,1,U,,,,,2,,,,,,,2
Iphistiadai,V,1,U,,,,,5,,,,,,,
Boutadai,VI,1,U,,,,,3,1,1,,,,1,1
Hippotomadai,VI,1,U,,,,,2,,,,,,,
Lousia,VI,1,U,,,,,2,3,3,,,,1,
Ptelea,VI,1,U,,,,,2,1,1,,,,,1
Diadalidai,VII,1,U,,,,,1,1,1,,,,,
Epieikidai,VII,1,I,1,,,1,4,,,,,,,
Acherdous,VIII,1,C,,,,,3,1,1,,,,1,
Auridai,VIII,1,C,,,,,1,2,2,,,,,
Elaious,VIII,1,C,,,,,2,1,1,,,,,1
Eroiadai 8,VIII,1,I,,,,,2,6,6,,,,3,1
Hamaxanteia,VIII,1,U,,,,,1,3,2,1,,,,
Korydallos,VIII,1,U,,,,,2,,,,,,,
Eroiadai 10,X,1,I,,,,,2,,,,,,,
Krioa,X,1,I,,,,,3,2,2,,,1,2,1
Semachidai,X,1,I,,,,,3,1,1,,,,,1
Bate,II,1.5,U,,,,,3,3,3,,,,2,
Ionidai,II,1.5,I,,,,,2,,,,,,,1
Kydantidai,II,1.5,I,,,,,2,10,5,4,,2,1,
Kytheros,III,1.5,I,1,,,9,18,6,5,1,1,,1,
Epikephisia,VI,1.5,U,1,,,2,12,,,,,,,
Kothokidai,VI,1.5,C,,,,,2,4,3,,,1,3,1
Eitea 10,X,1.5,I,1,,,2.5,14,,,,,,,
"Agryle, Upper",I,2,U,,,0.5,,4.5,2,1,1,,,,2
Kedoi,I,2,C,,,,,2,7,3,,5,,1,
"Pergase, Upper",I,2,I,,,,,2.5,5,3,1,1,,2,2
"Pergase, Lower",I,2,I,,,,,2.5,,,,,,,
Araphen,II,2,C,,,,,6,1,1,,,,,2
Kolonos,II,2,U,,,,,8,1,,,1,,1,1
Aithalidai,IV,2,I,,,,1,3,,,,,,,2
Cholleidai,IV,2,I,,,,1,3,3,3,,,,1,1
Deiradiotai,IV,2,C,,,,,4,2,1,,,1,,
Eupyridai,IV,2,I,1,,,,10,,,,,,,1
Hybadai,IV,2,I,,,,,1,3,2,,1,,1,1
Kolonai 4,IV,2,I,,,,,2,5,3,1,1,1,,2
Pelekes,IV,2,I,,,,1,4,,,,,,1,1
"Potamos, Upper",IV,2,C,,,,,3.3,3,2,,1,,3,
"Potamos, Deiradiotes",IV,2,C,,,,,3.3,,,,,,,
Eitea 5,V,2,I,,,,0.5,4,1,1,,,,,1
Hermos,V,2,U,,,,,1,1,1,,,,,
Kikynna,V,2,I,,,,,9,4,4,1,,,,
Lakiadai,VI,2,U,,,,,14,9,5,,1,4,3,
Phyle,VI,2,C,1,,,1,7,,,,,,3,5
Sypalettos,VII,2,I,1,,,,6,1,1,,,,2,1
Trinemeia,VII,2,I,,,,,1,,,,,,1,
Azenia,VIII,2,C,,,,,1,1,1,,,,3,
Keiriadai,VIII,2,U,,,,,3,1,,,,1,1,
Kopros,VIII,2,C,,,,,3,4,4,,,,,
Oinoe 8,VIII,2,C,,,,,7,5,2,1,2,,2,
Thymaitadai,VIII,2,U,,,,,6,3,1,,1,1,1,
Amphitrope,X,2,C,,,,,3,6,4,,2,1,,
Besa,X,2,C,,,,,4,,,,,,,2
Kolonai 10,X,2,I,,,,,2,,,,,,,
Angele,III,2.5,C,,,,,2,8,9,2,,,2,
Pithos,VII,2.5,I,,,,1,7,7,7,1,,,,
"Agryle, Lower",I,3,U,,,0.5,,4.5,,,,,,,
Kollytos,II,3,U,1,1,,1,18,8,6,2,,,8,3
Philaidai,II,3,C,,,,,5,2,1,1,,,,
Prasiai,III,3,C,2,,,2,12,6,3,1,2,1,,2
Steiria,III,3,C,,,,,1,8,6,,1,1,2,2
Halimous,IV,3,U,1,,5,2,53,2,,1,,1,1,2
Kettos,IV,3,U,,,,,1,1,1,,,,,
Leukonoion,IV,3,U,,,,2,5,18,13,5,,5,1,2
Paionidai,IV,3,I,,,,1,3,2,2,1,,,1,1
Skambonidai,IV,3,U,1,,1,,22,6,5,1,,2,1,1
Poros,V,3,C,,,,,1,3,2,1,,,1,
Perithoidai,VI,3,U,,,,,3,4,3,1,,,2,2
Anakaia,VIII,3,I,,,,,1,,,,,,,
Koile,VIII,3,U,,,,,8,2,2,,,,3,2
Oion Dekeleikon,VIII,3,I,,,0.5,,7,5,1,1,1,2,3,
Trikorynthos,IX,3,C,1,,,,12,3,3,,,,,1
Atene,X,3,C,,,,,3,3,1,1,,1,,1
Phegaia,II,3.5,C,1,,,,5,4,3,,1,,1,
Gargettos,II,4,I,1,,,,12,11,8,2,,1,1,3
Teithras,II,4,I,5,,1,11,37,1,1,,,,,1
Oa,III,4,I,,,,1,4,2,,,2,,,4
Sounion,IV,4,C,3,,1,2,34,6,4,2,,1,5,3
Cholargos,V,4,U,1,,,,14,10,8,3,,1,3,
Dekeleia,VIII,4,I,,,,,10,4,2,2,,,,
Oinoe 9,IX,4,C,,,1,,9,,,,,,,
Thorai,X,4,C,,,,,1,1,1,,,,1,1
Ikarion,II,4.5,I,5,1,10,13,42,4,4,,,,1,2
"Lamptrai, Upper",I,5,C,1.5,,,34.5,11,24,20,3,2,1,7,5
Halai Araphenides,II,5,C,3,1,1,2,33,9,6,2,1,,1,10
Probalinthos,III,5,C,,,,,6,3,2,,1,,3,
Hagnous,V,5,I,,,,1,7,7,6,,,1,2,3
Prospalta,V,5,I,,,,,5,3,3,,,1,,3
Sphettos,V,5,I,1,,2,1,12,11,8,4,1,1,9,3
Athmonon,VII,5,I,3,,1,45,30,12,8,1,3,,,4
Thorikos,V,5.5,C,1,1,,,40,8,6,2,1,,4,
Anagyrous,I,6,C,1,1,1,,21,17,12,5,2,,4,3
Kephisia,I,6,I,1,,,,9,22,14,4,4,3,4,3
Myrrhinous,III,6,C,2,1,,2,43,10,7,2,,1,2,
Kerameis,V,6,U,1,,1,,16,13,8,2,2,1,4,2
Halai Aixonides,VII,6,C,9,,2,33,56,7,3,3,1,1,,
Aigilia,X,6,C,,1,,3,8,1,1,,,,,2
Erchia,II,6.5,I,2,,,1,43,16,14,2,,1,6,7
Oe,VI,6.5,C,,,,1,6,7,6,1,,,2,1
